-214193,-214191.63313393
-61387,-61370.72967339
25469,25498.21509225
49217,49239.00486039
171307,171318.58809888
210155,210156.74571600
253427,253439.31842390
369740,369767.42361071
400085,400113.94189560
434355,434384.03574019
452605,452615.45823405
470160,470177.75981729
473837,473861.32428724
507850,507860.23536030
524156,524172.83649914
544676,544687.13495166
567118,567122.83554608
569477,569492.99663157
601716,601727.34210145
613424,613446.52084438
626596,626626.46742331
645554,645556.32533408
664224,664246.37629437
671401,671426.12433605
694799,694801.61426267
704424,704453.86948780
708842,708867.14372819
709409,709411.31339458
709580,709597.63049097
727274,727277.69991033
728714,728738.66868382
744313,744325.56321362
764652,764656.56437173
